财经指数,url,数据公布机构,发布频率,数据影响,数据释义,统计方法,关注原因,金银影响
法国薪资季率终值,http://www.kxt.com/data/frwamoq+indexf.html,法国统计局,每季度一次,"公布值>预测值=利多欧元
",薪资水平的季度变化数据,统计薪资水平的季度变化情况,薪资水平的变化预示了未来的社会销售水平变化,利多
法国薪资季率初值,http://www.kxt.com/data/frwamoq+indexp.html,法国统计局,每季度一次,"公布值>预测值=利多欧元
",薪资水平的季度变化数据,统计薪资水平的季度变化情况,薪资水平的变化预示了未来的社会销售水平变化,利多
法国工业产出月率,http://www.kxt.com/data/fpipmom+index.html,法国国家统计局,每月,"公布值>预测值=利好欧元
",当工业产出上扬，反映整体景气好转，反之整体景气则可能走低。若工业产出数据疲弱，则暗示该国经济陷于衰退之中。,经通胀调整后制造商、矿商和公共事业单位生产总价值的变动,是经济健康状况的领先性指标——因生产者在商业周期的上升和下降反应迅速，且该指标与消费状况相关，如就业水平及收入。工业产出上升，说明经济改善；工业产出下降，说明经济增长放缓。,利空
法国工业产出年率,http://www.kxt.com/data/fpipyoy+index.html,法国国家统计局,月报，每月10日左右公布上上月数据。,"公布值>预期值=利好欧元
",法国国家统计局 当工业产出上扬，反映整体景气好转，反之整体景气则可能走低。若工业产出数据疲弱，则暗示该国经济陷于衰退之中。,经通胀调整后制造商、矿商和公共事业单位生产总价值的变动,数据上升表明工业产出增加，经济扩张，利多欧元，反之则利空欧元。,利空
法国商业景气指数,http://www.kxt.com/data/frbsi+index.html,法国央行,每个月公布一次,"数据>预期=利好欧元
",企业对环境的信心会影响到企业对增加投资还是减少投资的后续决策，是商业活动的领先性数据。,法国央行 企业对环境的信心会影响到企业对增加投资还是减少投资的后续决策，是商业活动的领先性数据。,是衡量经济健康状况的领先性指标——企业对市场形势能做出迅速反应，且他们对经济看法的改变可能是未来经济活动的早期迹象，如经济中的支出、雇用和投资情况。,利空
法国消费者综合信心指数,http://www.kxt.com/data/frco+index.html,法国国家统计局,每月一次,"数据>预期=利好欧元
",消费者信心数据能反映法国消费者对生活水平、财务及就业状况、大宗商品购买能力和储蓄能力的预期。,基于对家庭的调查所编制成的一项指数,消费者信心将对消费支出产生影响，而消费支出是法国经济的重要动力之一。,利空
法国调和CPI月率,http://www.kxt.com/data/frcpeecm+index.html,法国国家统计局(INSEE),月报，每月中旬公布上月数据。,"公布值>预测值=利好欧元
",消费者价格指数(Consumer Price Index)，也称消费者物价指数，英文缩写为CPI，是对一个固定的消费品篮子价格的衡量，主要反映消费者支付商品和劳务的价格变化情况，也是一种度量通货膨胀水平的工具， 以百分比变化为表达形式。同时也是用以衡量与居民生活有关的产品及劳务价格统计出来的物价变动指针。,消费者购买商品及服务的价格变动,一般而言，在良性通胀环境下，通胀越高，说明经济越好，央行加息可能性越高，对本国汇率越有利。,利空
法国调和CPI年率,http://www.kxt.com/data/frcpeecy+index.html,法国国家统计局(INSEE),月报，每月中旬公布上月数据。,"公布值>预测值=利好欧元
",消费者价格指数(Consumer Price Index)，也称消费者物价指数，英文缩写为CPI，是对一个固定的消费品篮子价格的衡量，主要反映消费者支付商品和劳务的价格变化情况，也是一种度量通货膨胀水平的工具， 以百分比变化为表达形式。同时也是用以衡量与居民生活有关的产品及劳务价格统计出来的物价变动指针。,消费者购买商品及服务的价格变动,一般而言，在良性通胀环境下，通胀越高，说明经济越好，央行加息可能性越高，对本国汇率越有利。,利空
法国CPI月率,http://www.kxt.com/data/frcpimom+index.html, 法国国家统计局,月报，每月中旬公布上月数据。,"公布值>预测值=利好欧元
",消费者价格指数(Consumer Price Index)，也称消费者物价指数，英文缩写为CPI，是对一个固定的消费品篮子价格的衡量，主要反映消费者支付商品和劳务的价格变化情况，也是一种度量通货膨胀水平的工具， 以百分比变化为表达形式。同时也是用以衡量与居民生活有关的产品及劳务价格统计出来的物价变动指针。,消费者购买商品及服务的价格变动,是衡量通胀的关键指标。一般来说，如数据上升将利好欧元；反之，数据下滑则利空欧元。,利空
法国CPI年率,http://www.kxt.com/data/frcpiyoy+index.html,法国国家统计局(INSEE),每个月公布一次，在当月结束后的第14日左右公布,"公布值>预测值=利好欧元
",消费者价格指数(Consumer Price Index)，也称消费者物价指数，英文缩写为CPI，是对一个固定的消费品篮子价格的衡量，主要反映消费者支付商品和劳务的价格变化情况，也是一种度量通货膨胀水平的工具， 以百分比变化为表达形式。同时也是用以衡量与居民生活有关的产品及劳务价格统计出来的物价变动指针。,消费者购买商品及服务的价格变动,一般而言，在良性通胀环境下，通胀越高，说明经济越好，央行加息可能性越高，对本国汇率越有利。,利空
法国自有企业生产前景,http://www.kxt.com/data/inseprod+index.html,法国国家统计局,每月,数据影响,当自有企业产出上扬，反映整体景气好转，反之整体景气则可能走低。若自有企业产出数据疲弱，则暗示该国经济陷于衰退之中。,经通胀调整后自有企业生产总价值的变动,是经济健康状况的领先性指标——因生产者在商业周期的上升和下降反应迅速，且该指标与消费状况相关，如就业水平及收入。工业产出上升，说明经济改善；工业产出下降，说明经济增长放缓。,利多
法国制造业产出月率,http://www.kxt.com/data/frmpmom+index.html,法国国家统计局,每月,"公布值>预测值=利好欧元
",当工业产出上扬，反映整体景气好转，反之整体景气则可能走低。若工业产出数据疲弱，则暗示该国经济陷于衰退之中。,制造商，矿商和实体经通胀调整后产出总价值的变动,是经济健康状况的领先性指标——因生产者在商业周期的上升和下降反应迅速，且该指标与消费状况相关，如就业水平及收入。工业产出上升，说明经济改善；工业产出下降，说明经济增长放缓。,利空
法国制造业产出年率,http://www.kxt.com/data/frmpyoy+index.html, 法国国家统计局(INSEE),每月,"公布值>预测值=利好欧元
",当工业产出上扬，反映整体景气好转，反之整体景气则可能走低。若工业产出数据疲弱，则暗示该国经济陷于衰退之中。, 工业产值衡量下列产业内工业设施的产出：采矿和采石、制造业和公用设施（电力、燃气和供水）。产量基于产出量。,是经济健康状况的领先性指标——因生产者在商业周期的上升和下降反应迅速，且该指标与消费状况相关，如就业水平及收入。工业产出上升，说明经济改善；工业产出下降，说明经济增长放缓。,利空
法国PPI月率,http://www.kxt.com/data/frpimom+index.html,法国统计局,每月,"公布值>预测值=利好欧元
","生产者物价指数(Producer Price Index , PPI)指一衡量产业生产成本的指针，该指针包含制造业、中间财、能源商品、资本财、耐久性及非耐久性消费财等，用以代表厂商之间的交易价格。",生产商销售的成品和服务价格的变动，公布月率和年率,是消费者通胀的领先性指标，生产者物价指数持续上升，可能预示未来消费者物价指数上升，进而会给央行带来加息压力。生产者物价指数影响消费者物价指数需要一定时间，因此，对市场影响并不大。,利空
法国PPI年率,http://www.kxt.com/data/frpiyoy+index.html, 法国统计局,月报，每月月底公布上月数据。,"公布值>预测值=利好欧元
","法国统计局 生产者物价指数(Producer Price Index , PPI)指一衡量产业生产成本的指针，该指针包含制造业、中间财、能源商品、资本财、耐久性及非耐久性消费财等，用以代表厂商之间的交易价格。",生产商销售的成品和服务价格的变动，公布月率和年率,由于企业最终要把它们的费用以更高的消费价格的形式转移给消费者，所以，通常认为生产物价指数的变动对预测消费物价指数的变动是有用的。生产者物价指数是衡量商品通胀压力的重要指标。一般来说，如指数高于预期将利好欧元，如数据低于预期将利空欧元。,利空
法国非农就业人口季率终值,http://www.kxt.com/data/frprtotq+indexf.html,法国国家统计局(INSEE),每季度,"公布值>预期值=利好欧元
",非农业就业人数(Changes in non-farm payrolls)：为就业报告中的一个项目，该项目主要统计从事农业生产以外的职位变化情形。,指剔除农业和政府部门的就业人数变动,创造就业是消费者支出的一个重要领先性指标，而消费支出是整体经济活动的主要板块,利空
法国家庭消费支出月率,http://www.kxt.com/data/frsnttlm+index.html,法国国家统计局,每月,"公布值>预测值=利好欧元
",是指个人和家庭用于生活消费的全部支出。包括购买商品支出以及享受文化服务和生活服务等非商品支出。,通胀调整后消费者购买所有商品开销金额变动，公布月率和年率数据,消费支出的升降，直接体现了消费对经济的影响。作为驱动经济的三大因素之一，消费支出的变化，对经济起到了至关重要的影响。,利空
法国家庭消费支出年率,http://www.kxt.com/data/frsnttly+index.html,法国国家统计局,月报，每月月底公布上月数据。,"公布值>预测值=利好欧元
",法国国家统计局 是指个人和家庭用于生活消费的全部支出。包括购买商品支出以及享受文化服务和生活服务等非商品支出。,通胀调整后消费者购买所有商品开销金额变动，公布月率和年率数据,消费开支是经济增长的重要因素，因此，如果该指标好于预期，则利好欧元，而如果数据不及预期，则利空欧元。,利空
法国贸易帐,http://www.kxt.com/data/frtebal+index.html,法国海关,每月,"公布值>预测值=利好欧元
",贸易帐(External Trade Balance)指区内外海关出、进口之差额，如果出口大于进口，为贸易盈余；如果出口小于进口，为贸易赤字。,在该月进口商品和出口商品总价值之差,贸易赤字，表明资金净流出，不利欧元；如果贸易盈余，表明资金净流入，对欧元有利。,利空
法国ILO失业率,http://www.kxt.com/data/fruereuo+index.html,国际劳工组织(ILO),每个季度公布一次,"公布值>预测值=利空欧元
",ILO失业率是指根据国际劳工组织(ILO)标准统计的，失业人口占劳动人口的比率（一定时期全部就业人口中有工作意愿而仍未有工作的劳动力数字），旨在衡量闲置中的劳动产能，是反映一个国家或地区失业状况的主要指标。,统计一段时期内的失业情况,通过该指标可以判断一定时期内全部劳动人口的就业情况。一般情况下，失业率下降，代表整体经济健康发展，利于货币升值；失业率上升，便代表经济发展放缓衰退，不利于货币升值。若将失业率配以同期的通胀指标来分析，则可知当时经济发展是否过热，会否构成加息的压力，或是否需要通过减息以刺激经济的发展。,利空
法国GDP季率终值,http://www.kxt.com/data/frgegdpq+indexf.html,法国国家统计局,每季度,"如果该指标比预期更高，则应认为欧元强势/看涨，而如果该指标比预期更低，则应认为欧元弱势/看跌。
",国内生产总值（Gross Domestic Product，简称GDP），是指在一定时期内(一个季度或一年)，一个国家或地区的经济中所生产出的全部最终产品和劳务的价值，常被公认为衡量国家经济状况的最佳指标。它不但可反映一个国家的经济表现，更可以反映一国的国力与财富。,经通胀调整后，经济活动中所产生的所有商品及服务的价值变动,该指标对经济活动进行了最为广泛的衡量，且是经济健康状况首要的衡量器,利多
法国GDP季率初值,http://www.kxt.com/data/frgegdpq+indexp.html, 法国国家统计局,每个季度布一次,"公布值>预期值=利好欧元
",国内生产总值（Gross Domestic Product，简称GDP），是指在一定时期内(一个季度或一年)，一个国家或地区的经济中所生产出的全部最终产品和劳务的价值，常被公认为衡量国家经济状况的最佳指标。它不但可反映一个国家的经济表现，更可以反映一国的国力与财富。,经通胀调整后，经济活动中所产生的所有商品及服务的价值变动,该指标对经济活动进行了最为广泛的衡量，且是经济健康状况首要的衡量器,利多
法国GDP年率终值,http://www.kxt.com/data/frgegdpy+indexf.html, 法国国家统计局,每个季度一次,"公布值>预期值=利好欧元
",国内生产总值（Gross Domestic Product，简称GDP），是指在一定时期内(一个季度或一年)，一个国家或地区的经济中所生产出的全部最终产品和劳务的价值，常被公认为衡量国家经济状况的最佳指标。它不但可反映一个国家的经济表现，更可以反映一国的国力与财富。,经通胀调整后，经济活动中所产生的所有商品及服务的价值变动,该指标对经济活动进行了最为广泛的衡量，且是经济健康状况首要的衡量器,利多
法国商业信心指数,http://www.kxt.com/data/insecomp+index.html,法国国家统计局,月报，每月月底公布当月数据。,"数据>预期=利好欧元
",法国国家统计局 消费者信心数据能反映法国消费者对生活水平、财务及就业状况、大宗商品购买能力和储蓄能力的预期。,统计消费者信心的信心指数,如果消费者信心指数上升表示消费者有较强烈消费商品与服务意愿，有利经济扩张，则利好欧元；而消费者信心指数下降则表明消费者消费意愿不强，经济有可能趋缓，利空欧元。,利空
法国GDP年率初值,http://www.kxt.com/data/frgegdpy+indexp.html, 法国国家统计局,每个季度布一次,"公布值>预期值=利好欧元
",国内生产总值（Gross Domestic Product，简称GDP），是指在一定时期内(一个季度或一年)，一个国家或地区的经济中所生产出的全部最终产品和劳务的价值，常被公认为衡量国家经济状况的最佳指标。它不但可反映一个国家的经济表现，更可以反映一国的国力与财富。,经通胀调整后，经济活动中所产生的所有商品及服务的价值变动,该指标对经济活动进行了最为广泛的衡量，且是经济健康状况首要的衡量器,利多
法国制造业信心指数,http://www.kxt.com/data/insesynt+index.html,法国国家统计局,每月,"公布值>预测值=利好欧元
",法国国家统计局(INSEE)，调查企业对经济形势所作出的基本估计，并制作成指数，出现负的指数表明绝大部分企业对本国经济前景不抱乐观估计。,调查约400位采购经理人对就业、订单等方面的预测,法国国家统计局(INSEE)，调查企业对经济形势所作出的基本估计，并制作成指数，出现负的指数表明绝大部分企业对本国经济前景不抱乐观估计。,利空
法国非农就业人口季率初值,http://www.kxt.com/data/frprtotq+indexp.html,法国国家统计局(INSEE),每月,"公布值>预期值=利好欧元
",非农业就业人数(Changes in non-farm payrolls)：为就业报告中的一个项目，该项目主要统计从事农业生产以外的职位变化情形。,指剔除农业和政府部门的就业人数变动,创造就业是消费者支出的一个重要领先性指标，而消费支出是整体经济活动的主要板块,利多
法国制造业PMI初值,http://www.kxt.com/data/mpmifrma+indexp.html,市场研究机构Markit,每月,"公布值>预期值=利好欧元
",对大约600家企业的采购经理人进行调查。受访者对商业形势的相对水平作出判断性评论，其问题包括就业形势、生产形势、新订单、价格、供应商交货及库存情况。,基于对制造业采购经理人调查的一个衡量制造业发展状况的指标,对大约600家企业的采购经理人进行调查。受访者对商业形势的相对水平作出判断性评论，其问题包括就业形势、生产形势、新订单、价格、供应商交货及库存情况。,利多
法国政府预算,http://www.kxt.com/data/frbdeuro+index.html, 法国统计局, 每月,"公布值>预期值=利好欧元
",政府预算是按照一定的法律程序编制和执行的政府年度财政收支计划，是政府组织和规范财政分配活动的重要工具，在现代社会，它还是政府调节经济的重要杠杆。如果收入大于支出，为盈余；收入小于支出，为赤字；收支相抵，为预算平衡。, 今年年初至今政府收入与支出金额之差,政府预算可以帮助预判未来的经济形势，间接反映货币走势,利多
法国出口,http://www.kxt.com/data/frexp%3deci.html, 法国贸易部, 每月,"公布值>预测值=利好欧元
",贸易帐(External Trade Balance)指区内外海关出、进口之差额，如果出口大于进口，为贸易盈余；如果出口小于进口，为贸易赤字。,在该月进口商品和出口商品总价值之差,出口主要是贸易和销售活动。除了出口货品，还有出口服务，是指由本地生产商提供给外地顾客或消费者，例如大学教育、技术转移、影像娱乐、基金投资、人寿保险等的服务类出口。,利多
法国进口,http://www.kxt.com/data/frimp%3deci.html, 法国贸易部, 每月,"公布值>预测值=利好欧元
",贸易帐(External Trade Balance)指区内外海关出、进口之差额，如果出口大于进口，为贸易盈余；如果出口小于进口，为贸易赤字。,在该月进口商品和出口商品总价值之差,入口货品或服务是指由外地生产商提供给本地消费者。,利多
法国综合PMI初值,http://www.kxt.com/data/mpmifrca+indexp.html, 市场研究机构Markit, 每月,"数据>预期=利好欧元
",受访者对商业形势的相对水平作出判断性评论，其问题包括就业形势、生产形势、新订单、价格、供应商交货及库存情况。, 市场研究机构Markit 对服务业企业进行调查,是经济健康状况的领先性指标——企业能对市场形势作出迅速反应，而其采购经理人可能代表着该企业对经济主要的观点。通过观察该数据的变化，可以判断未来经济走向。,利多
法国服务业PMI初值,http://www.kxt.com/data/mpmifrsa+indexp.html, 市场研究机构Markit, 每月,"数据>预期=利好欧元
","服务业采购经理人指数(Manufacture Purchasing Manager Index, PMI)，主要反映企业对于目前经营环境的看法",基于对服务业采购经理人调查的一个衡量服务业发展状况的指标,"服务业采购经理人指数(Manufacture Purchasing Manager Index, PMI)，主要反映企业对于目前经营环境的看法",利多
法国调和CPI月率修正值,http://www.kxt.com/data/frcpeecm+indexp.html,法国国家统计局,每月,"公布值>预测值=利好欧元
",法国国家统计局 消费者价格指数(Consumer Price Index)，也称消费者物价指数，英文缩写为CPI，是对一个固定的消费品篮子价格的衡量，主要反映消费者支付商品和劳务的价格变化情况，也是一种度量通货膨胀水平的工具， 以百分比变化为表达形式。同时也是用以衡量与居民生活有关的产品及劳务价格统计出来的物价变动指针。,消费者购买商品及服务的价格变动,主要用来衡量各项消费性商品与劳务价格的水平，反映一般消费物价的平均水平。调和消费者物价指数是央行调整货币政策的主此数据要观察指标，当调和消费者物价指数连续大幅走扬，代表通胀压力升高，加息几率上升，利多欧元，反之利空欧元。,利多
法国调和CPI年率修正值,http://www.kxt.com/data/frcpeecy+indexp.html,法国国家统计局,每月,"公布值>预测值=利好欧元
",法国国家统计局 消费者价格指数(Consumer Price Index)，也称消费者物价指数，英文缩写为CPI，是对一个固定的消费品篮子价格的衡量，主要反映消费者支付商品和劳务的价格变化情况，也是一种度量通货膨胀水平的工具， 以百分比变化为表达形式。同时也是用以衡量与居民生活有关的产品及劳务价格统计出来的物价变动指针。,消费者购买商品及服务的价格变动,主要用来衡量各项消费性商品与劳务价格的水平，反映一般消费物价的平均水平。调和消费者物价指数是央行调整货币政策的主此数据要观察指标，当调和消费者物价指数连续大幅走扬，代表通胀压力升高，加息几率上升，利多欧元，反之利空欧元。,利多
法国CPI月率修正值,http://www.kxt.com/data/frcpimom+indexp.html,法国国家统计局,每月,"公布值>预测值=利好欧元
",法国国家统计局 消费者价格指数(Consumer Price Index)，也称消费者物价指数，英文缩写为CPI，是对一个固定的消费品篮子价格的衡量，主要反映消费者支付商品和劳务的价格变化情况，也是一种度量通货膨胀水平的工具， 以百分比变化为表达形式。同时也是用以衡量与居民生活有关的产品及劳务价格统计出来的物价变动指针。,消费者购买商品及服务的价格变动,主要用来衡量各项消费性商品与劳务价格的水平，反映一般消费物价的平均水平。调和消费者物价指数是央行调整货币政策的主此数据要观察指标，当调和消费者物价指数连续大幅走扬，代表通胀压力升高，加息几率上升，利多欧元，反之利空欧元。,利多
法国CPI年率,http://www.kxt.com/data/frcpiyoy+indexp.html, 法国国家统计局(INSEE), 每个月公布一次，在当月结束后的第14日左右公布,"公布值>预测值=利好欧元
",消费者价格指数(Consumer Price Index)，也称消费者物价指数，英文缩写为CPI，是对一个固定的消费品篮子价格的衡量，主要反映消费者支付商品和劳务的价格变化情况，也是一种度量通货膨胀水平的工具， 以百分比变化为表达形式。同时也是用以衡量与居民生活有关的产品及劳务价格统计出来的物价变动指针。, 消费者购买商品及服务的价格变动,一般而言，在良性通胀环境下，通胀越高，说明经济越好，央行加息可能性越高，对本国汇率越有利。,利多
法国调和CPI月率终值,http://www.kxt.com/data/frcpeecm+indexf.html,法国国家统计局,每月,"公布值>预测值=利好欧元
",法国国家统计局 消费者价格指数(Consumer Price Index)，也称消费者物价指数，英文缩写为CPI，是对一个固定的消费品篮子价格的衡量，主要反映消费者支付商品和劳务的价格变化情况，也是一种度量通货膨胀水平的工具， 以百分比变化为表达形式。同时也是用以衡量与居民生活有关的产品及劳务价格统计出来的物价变动指针。,消费者购买商品及服务的价格变动,主要用来衡量各项消费性商品与劳务价格的水平，反映一般消费物价的平均水平。调和消费者物价指数是央行调整货币政策的主此数据要观察指标，当调和消费者物价指数连续大幅走扬，代表通胀压力升高，加息几率上升，利多欧元，反之利空欧元。,利多
法国调和CPI年率终值,http://www.kxt.com/data/frcpeecy+indexf.html,法国国家统计局,每月,"公布值>预测值=利好欧元
",法国国家统计局 消费者价格指数(Consumer Price Index)，也称消费者物价指数，英文缩写为CPI，是对一个固定的消费品篮子价格的衡量，主要反映消费者支付商品和劳务的价格变化情况，也是一种度量通货膨胀水平的工具， 以百分比变化为表达形式。同时也是用以衡量与居民生活有关的产品及劳务价格统计出来的物价变动指针。,消费者购买商品及服务的价格变动,主要用来衡量各项消费性商品与劳务价格的水平，反映一般消费物价的平均水平。调和消费者物价指数是央行调整货币政策的主此数据要观察指标，当调和消费者物价指数连续大幅走扬，代表通胀压力升高，加息几率上升，利多欧元，反之利空欧元。,利多
法国CPI月率终值,http://www.kxt.com/data/frcpimom+indexf.html,法国国家统计局(INSEE),每月,"公布值>预测值=利好欧元
",消费者价格指数(Consumer Price Index)，也称消费者物价指数，英文缩写为CPI，是对一个固定的消费品篮子价格的衡量，主要反映消费者支付商品和劳务的价格变化情况，也是一种度量通货膨胀水平的工具， 以百分比变化为表达形式。同时也是用以衡量与居民生活有关的产品及劳务价格统计出来的物价变动指针。,消费者购买商品及服务的价格变动,一般而言，在良性通胀环境下，通胀越高，说明经济越好，央行加息可能性越高，对本国汇率越有利。,利多
法国CPI年率终值,http://www.kxt.com/data/frcpiyoy+indexf.html,法国国家统计局(INSEE),每个月公布一次，在当月结束后的第14日左右公布,"公布值>预测值=利好欧元
",消费者价格指数(Consumer Price Index)，也称消费者物价指数，英文缩写为CPI，是对一个固定的消费品篮子价格的衡量，主要反映消费者支付商品和劳务的价格变化情况，也是一种度量通货膨胀水平的工具， 以百分比变化为表达形式。同时也是用以衡量与居民生活有关的产品及劳务价格统计出来的物价变动指针。,消费者购买商品及服务的价格变动,一般而言，在良性通胀环境下，通胀越高，说明经济越好，央行加息可能性越高，对本国汇率越有利。,利多
法国综合PMI终值,http://www.kxt.com/data/mpmifrca+indexf.html,市场研究机构Markit,每月,"公布值>预测值=利好欧元
",基于对采购经理人调查的一个衡量经济发展状况的指标。,对制造业和服务业企业进行调查；受访者对商业形势的相对水平作出判断性评论，其问题包括就业形势、生产形势、新订单、价格、供应商交货及库存情况。,是经济健康状况的领先性指标;企业能对市场形势作出迅速反应，而其采购经理人可能代表着该企业对经济主要的观点。,利空
法国制造业PMI终值,http://www.kxt.com/data/mpmifrma+indexf.html, 数据编撰机构Markit和CDAF, 每月,"公布值>预期值=利好欧元
","制造业采购经理人指数(Manufacture Purchasing Manager Index, PMI)，主要反映企业对于目前经营环境的看法。", 基于对制造业采购经理人调查的一个衡量制造业发展状况的指标,由于采购经理人指数具实时性，部分组成项目亦有领先的特性，故该指针对新增订单及工业生产具有良好的预测能力，为极具市场影响力的经济指标。,利空
法国零售业PMI,http://www.kxt.com/data/mpmifrra+index.html,市场研究机构Markit,每月,"数据>预期=利好欧元
",基于对零售业业采购经理人调查的一个衡量服务业发展状况的指标。,对零售业企业进行调查；受访者对商业形势的相对水平作出判断性评论，其问题包括就业形势、生产形势、新订单、价格、供应商交货及库存情况。,是经济健康状况的领先性指标——企业能对市场形势作出迅速反应，而其采购经理人可能代表着该企业对经济主要的观点。通过观察该数据的变化，可以判断未来经济走向。,利空
法国服务业PMI终值,http://www.kxt.com/data/mpmifrsa+indexf.html, 市场研究机构Markit, 每月,"公布值>预测值=利好欧元
",对服务业企业进行调查；受访者对商业形势的相对水平作出判断性评论，其问题包括就业形势、生产形势、新订单、价格、供应商交货及库存情况。, 基于对服务业采购经理人调查的一个衡量服务业发展状况的指标,是经济健康状况的领先性指标——企业能对市场形势作出迅速反应，而其采购经理人可能代表着该企业对经济主要的观点。通过观察该数据的变化，可以判断未来经济走向。,利空
西班牙核心CPI月率,http://www.kxt.com/data/spipccmm+index.html,欧盟统计局,每月,"公布值>预测值=利好欧元
",消费价格指数（CPI）是衡量消费者为消费品和服务市场篮子所支付价格的指标。年度（或月度）增长率代表通胀率。,统计消费者购买商品及服务的价格变动,因为消费物价指数水平表明消费者的购买能力，也反映经济的景气状况，如果该指数下跌，反映经济衰退，必然对货币汇率走势不利。但如果消费物价指数上升，汇率是否一定有利好呢?不一定，须看消费物价指数“升幅”如何。倘若该指数升幅温和，则表示经济稳定向上，当然对该国货币有利，但如果该指数升幅过大却有不良影响，因为物价指数与购买能力成反比，物价越贵，货币的购买能力越低，必然对该国货币不利。如果考虑对利率的影响，则该指标对外汇汇率的影响作用更加复杂。,利空
西班牙核心CPI年率,http://www.kxt.com/data/spipccyy+index.html,欧盟统计局,月报,"公布值>预测值=利好欧元
",消费价格指数（CPI）是衡量消费者为消费品和服务市场篮子所支付价格的指标。年度（或月度）增长率代表通胀率。,统计消费者购买商品及服务的价格变动,因为消费物价指数水平表明消费者的购买能力，也反映经济的景气状况，如果该指数下跌，反映经济衰退，必然对货币汇率走势不利。但如果消费物价指数上升，汇率是否一定有利好呢?不一定，须看消费物价指数“升幅”如何。倘若该指数升幅温和，则表示经济稳定向上，当然对该国货币有利，但如果该指数升幅过大却有不良影响，因为物价指数与购买能力成反比，物价越贵，货币的购买能力越低，必然对该国货币不利。如果考虑对利率的影响，则该指标对外汇汇率的影响作用更加复杂。,利空
西班牙CPI月率初值,http://www.kxt.com/data/spipcmom+indexp.html,欧盟统计局,每月,"公布值>预测值=利好欧元
",消费价格指数（CPI）是衡量消费者为消费品和服务市场篮子所支付价格的指标。年度（或月度）增长率代表通胀率。,统计消费者购买商品及服务的价格变动,因为消费物价指数水平表明消费者的购买能力，也反映经济的景气状况，如果该指数下跌，反映经济衰退，必然对货币汇率走势不利。但如果消费物价指数上升，汇率是否一定有利好呢?不一定，须看消费物价指数“升幅”如何。倘若该指数升幅温和，则表示经济稳定向上，当然对该国货币有利，但如果该指数升幅过大却有不良影响，因为物价指数与购买能力成反比，物价越贵，货币的购买能力越低，必然对该国货币不利。如果考虑对利率的影响，则该指标对外汇汇率的影响作用更加复杂。,利空
西班牙CPI年率终值,http://www.kxt.com/data/spipcyoy+indexf.html,欧盟统计局,月报,"公布值>预测值=利好欧元
",消费价格指数（CPI）是衡量消费者为消费品和服务市场篮子所支付价格的指标。年度（或月度）增长率代表通胀率。,统计消费者购买商品及服务的价格变动,因为消费物价指数水平表明消费者的购买能力，也反映经济的景气状况，如果该指数下跌，反映经济衰退，必然对货币汇率走势不利。但如果消费物价指数上升，汇率是否一定有利好呢?不一定，须看消费物价指数“升幅”如何。倘若该指数升幅温和，则表示经济稳定向上，当然对该国货币有利，但如果该指数升幅过大却有不良影响，因为物价指数与购买能力成反比，物价越贵，货币的购买能力越低，必然对该国货币不利。如果考虑对利率的影响，则该指标对外汇汇率的影响作用更加复杂。,利空
西班牙CPI年率初值,http://www.kxt.com/data/spipcyoy+indexp.html,欧盟统计局,月报,"公布值>预测值=利好欧元
",消费价格指数（CPI）是衡量消费者为消费品和服务市场篮子所支付价格的指标。年度（或月度）增长率代表通胀率。,统计消费者购买商品及服务的价格变动,因为消费物价指数水平表明消费者的购买能力，也反映经济的景气状况，如果该指数下跌，反映经济衰退，必然对货币汇率走势不利。但如果消费物价指数上升，汇率是否一定有利好呢?不一定，须看消费物价指数“升幅”如何。倘若该指数升幅温和，则表示经济稳定向上，当然对该国货币有利，但如果该指数升幅过大却有不良影响，因为物价指数与购买能力成反比，物价越贵，货币的购买能力越低，必然对该国货币不利。如果考虑对利率的影响，则该指标对外汇汇率的影响作用更加复杂。,利空
西班牙劳工成本年率,http://www.kxt.com/data/splctyy+index.html,欧盟统计局,每季度一次,"公布值>预测值=利好欧元
",工人生产率的下降相当于工资成本的上升。当企业为劳动支付更高的成本时，通常会传导至消费终端。,统计工资成本,是通胀领先性指标，因生产率与通胀相关的劳动直接相关,利空
西班牙GDP年率终值,http://www.kxt.com/data/spnagdpy+indexf.html,欧盟统计局,每季度一次,"公布值>预测值=利好欧元
","GDP即英文gross domestic product的缩写，也就是国内生产总值,（港台地区有翻译为国内生产毛额、本地生产总值）。通常对GDP的定义为：一定时期内（一个季度或一年），一个国家或地区的经济中所生产出的全部最终产品和提供劳务的市场价值的总值。",统计上一季度经济总量的变化，公布季率和年率数据,GDP是衡量一国经济运行状况的最重要指标之一，央行将据此调整货币政策。,利空
西班牙PPI月率,http://www.kxt.com/data/sprochng+index.html,欧盟统计局,每月,"公布值>预测值=利好欧元
",生产者物价指数(PPI)，主要用于衡量各种商品在不同生产阶段的价格变化情况，与消费者物价指数(CPI)一样，通常作为观察通货膨胀水平的重要指标。,统计各种商品在不同生产阶段的价格变化情况,通常作为观察通货膨胀水平的重要指标。,利空
西班牙PPI年率,http://www.kxt.com/data/sproyoy+index.html,欧盟统计局,月报,"公布值>预测值=利好欧元
",生产者物价指数(PPI)，主要用于衡量各种商品在不同生产阶段的价格变化情况，与消费者物价指数(CPI)一样，通常作为观察通货膨胀水平的重要指标。,统计各种商品在不同生产阶段的价格变化情况,通常作为观察通货膨胀水平的重要指标。,利空
